Position Name,Date,Activity Name,Total Duration,Total Player Load,Player Load Per Minute,Maximum Velocity (mph),Max Acceleration,Total Distance (y),Total IMA (Average),IMA CoD Right Medium,IMA CoD Right High,IMA CoD Left Medium,IMA CoD Left High,Velocity B4+ Total # Efforts (Gen 2),Velocity B5+ Total # Efforts (Gen 2),Velocity B6+ Total # Efforts (Gen 2),IMA Accel Medium,IMA Accel High,IMA Decel Medium,IMA Decel High,HSR Velocity Band 4 Total Distance (y),VHSR Velocity Band 5 Total Distance (y),SPR Velocity Band 6 Total Distance (y)
Defender,3/13/2023,2023 - 3-13 Training,1:17:57,492.21504,6.31428,15.94413,4.06634,5230.35096,11,9,2,5,4,80,16,4,14,2,7,3,877.23097,349.98908,104.5385
Defender,3/14/2023,WSOC Training 3-14-23,1:19:40,319.9924,4.01599,18.43514,3.54999,3540.90921,1,2,0,3,0,50,14,10,3,1,2,0,473.72048,149.26729,156.7476
Defender,3/15/2023,2023 - 3-15 Training,0:55:47,360.5022,6.46133,12.8631,3.89774,3660.24605,2,0,0,4,0,87,5,0,13,2,1,0,1509.80965,67.45407,0
Defender,3/17/2023,2023 - 3-17 Training,1:29:59,641.50326,7.12837,18.37183,4.85132,7000.67096,16,17,3,13,4,109,17,7,17,7,15,2,1091.02144,125.88583,176.88101
Defender,3/19/2023,WSOC Training 3-19-23,1:43:01,681.87619,6.61845,17.73014,3.90561,7639.42586,26,12,9,26,5,147,18,8,11,10,20,2,1299.63909,158.46456,102.77778
Defender,3/20/2023,2023 - 3-20 WSOC Practice,1:51:14,577.20822,5.18854,15.24238,3.82626,5816.07957,17,17,4,19,8,141,35,1,10,4,7,1,1328.07304,343.63517,66.15267
Defender,3/21/2023,WSOC Training,1:16:09,525.6941,6.9034,15.9983,3.77303,5903.50648,11,10,1,7,5,104,12,3,10,4,4,1,1021.1286,184.66754,41.21829
Defender,3/22/2023,2023 - 3-22 Training,1:03:59,421.79466,6.59114,11.11317,3.11611,3252.03076,13,14,2,11,2,17,0,0,12,7,18,2,137.15005,0,0
Defender,3/23/2023,WSOC Training 3-23-23,0:48:03,293.16502,6.10023,18.07927,4.19333,2531.43348,6,12,1,6,0,43,7,2,2,5,3,0,453.29178,108.11461,41.30577
Defender,3/24/2023,2023 - 3-24 Training,1:42:04,729.19278,7.14428,9.90352,1.90593,58.3604,6,23,1,13,0,0,0,0,17,2,9,3,43.79921,0,0
Defender,3/26/2023,2023 - 3-26 Training,1:38:50,627.47862,6.34804,17.17128,3.75374,7262.75962,11,13,3,8,2,104,13,2,8,3,5,3,1093.42737,173.07523,29.5385
Defender,3/27/2023,2023 - 3-27 Training,0:52:02,280.33714,5.38765,14.25859,4.24129,2696.99074,5,9,1,8,2,49,10,0,7,1,5,1,380.50087,147.7909,7.39283
Defender,3/28/2023,WSOC Training 3-28-23,1:33:55,547.19952,5.82602,16.43518,3.95777,5278.35657,8,19,1,11,3,72,15,8,10,2,13,2,809.70035,153.44487,153.88233
Defender,3/30/2023,WSOC Training 3-30-23,1:28:08,617.72987,7.00859,12.8004,4.22579,5891.42334,15,11,2,21,5,77,3,0,11,8,11,0,757.87402,40.14654,0
Defender,3/31/2023,WSOC Training 3-31-23,1:32:02,544.35941,5.91466,15.89888,3.55558,5463.97162,13,11,3,14,3,96,24,4,6,4,18,3,1315.62774,287.75154,73.22835
Defender,4/2/2023,WSOC Game vs BGSU,0:26:34,215.8243,8.12388,14.45273,3.72795,1916.635,3,2,0,4,1,26,2,1,6,2,0,0,299.73752,22.76903,7.58968
Defender,4/4/2023,2023 - 4-4 Training,1:18:24,384.42331,4.90309,45.43166,4.3947,8150.37793,11,10,2,6,2,38,13,3,9,5,9,2,703.68547,185.46588,111.01269
Defender,4/5/2023,2023 - 4-5 Training,1:19:46,752.69999,9.43594,18.45724,3.51793,7613.20614,27,17,6,7,4,139,25,10,13,11,17,6,1445.59275,250.16404,147.75809
Defender,4/6/2023,WSOC Training 4-6-23,1:05:35,497.0661,7.57817,14.54628,3.74049,4527.41926,8,12,2,11,0,94,9,0,14,5,7,1,812.33595,91.26203,5.7196
Defender,4/7/2023,2023 - 4-7 Training,0:57:03,414.13572,7.25873,13.88222,3.95051,3703.06555,5,7,0,9,0,92,4,0,4,4,5,1,861.58136,51.78259,0
Defender,4/8/2023,WSOC Game at EMU,1:41:53,928.74158,9.11462,17.084,3.8183,9323.09126,15,7,4,15,1,133,24,7,11,9,8,1,1699.23442,284.20823,175.38277
Defender,4/11/2023,WSOC Training 4-11-23,1:26:14,518.69205,6.0141,14.21355,3.56194,4971.46634,5,8,1,11,1,71,20,1,6,2,5,1,969.80532,259.17542,6.85696
Defender,4/12/2023,2023 - 4-12 Training,1:26:02,491.09385,5.70818,15.23547,3.73009,4621.88124,9,13,1,6,5,46,6,1,18,3,6,0,514.5013,60.1378,6.73666
Defender,4/13/2023,WSOC Training 4-13-23,0:57:19,255.61236,4.45856,14.75145,3.25103,2362.25067,2,3,0,1,1,36,3,0,7,0,4,1,328.00744,53.07305,5.36964
Defender,4/14/2023,WSC Training,0:40:13,320.54525,7.97046,11.4016,2.77558,2765.49426,4,5,0,0,1,24,0,0,12,2,5,1,318.60236,0,0
Defender,4/15/2023,WSC Game at Louisville,0:24:57,239.0729,9.58138,16.29548,2.94413,2137.28677,3,4,0,3,1,26,3,1,2,2,2,0,247.01444,38.37489,18.6133
